14546	14622	G8.6
14623	14717	G8.7
14720	14721	H1.1
14722	14722	H1.2
14723	14725	H1.3
14726	14726	H2.1
14727	14733	H2.2
14734	14736	H2.3
14737	14770	H2.4
14771	14773	H2.5
14774	14775	H3.1
14776	14785	H3.2
14786	14786	H3.3
14787	14790	H3.4
14791	14793	H3.5
14794	14794	H3.6
14795	14795	H3.7
14796	14796	H3.8
14797	14799	H3.9
14800	14800	H4.1
14801	14804	H4.2
14805	14808	H4.3
14809	14812	H4.4
14813	14817	H4.5
14818	14818	H4.6
14819	14820	H4.7
14821	14822	H5.1
14823	14826	H5.2
14827	14827	H5.3
14828	14831	H5.4
14832	14832	H5.5
14833	14836	H5.6
14837	14837	H6.1
14838	14838	H6.2
14839	14840	H6.3
14841	14841	H6.4
14842	14843	H6.5
14844	14849	H6.6
14850	14852	H6.7
14853	14857	H7.1
14858	14858	H8.1
14859	14859	H8.2
14860	14863	H8.3
14864	14865	H8.4
14866	14869	H8.5
14870	14875	H8.6
14876	14877	H8.7
14878	14881	H8.8
14882	14882	H9.1
14883	15042	H9.2
15043	15234	H9.3
15235	15301	H9.4
15302	15362	H9.5
15365	15366	I1.1
15367	15368	I1.2
15369	15370	I1.3
15371	15372	I2.1
15373	15376	I2.2
15377	15381	I2.3
15382	15389	I3.1
15390	15392	I4.1
15393	15394	I5.1
15395	15399	I5.2
15400	15565	I5.3
15566	15568	I5.4
15569	15632	I5.5
15633	15633	I5.6
15634	15684	I5.7
15687	16041	J1.1
16042	16147	J1.2
16148	16452	J1.3
16455	16475	K1.1
16476	16495	K1.2
16496	16497	K2.1
16498	16499	K3.1
16500	16501	K4.1
16502	16505	K5.1
16506	16506	K5.2
16507	16508	K5.3
16509	16520	K5.4
16521	16522	K6.1
16523	16524	K6.2
16525	16531	K7.1
16532	16545	K8.1
16546	16555	K8.2
16556	16560	K9.1
16561	16562	K10.1
16563	16569	K10.2
16570	16570	K10.3
16571	16572	K10.4
16573	16637	K10.5
16638	16647	K10.6
16648	16648	K10.7
16649	16652	K10.8
16653	16655	K11.1
16656	16658	K11.2
16659	16663	K11.3
16664	16664	K11.4
16665	16677	K11.5
16678	16679	K12.1
16680	16680	K13.1
16681	16682	K13.2
16683	16687	K13.3
16688	16693	K13.4
16694	16698	K13.5
16699	16701	K13.6
16702	16703	K13.7
16704	16707	K13.8
16708	16718	K14.1
16719	16738	K14.2
16739	16758	K14.3
16759	16767	K14.4
16768	16777	K14.5
16778	16790	K14.6
16791	16825	K14.7
